type,detail,factor,MOS,STD,N,CI95
ai,high,x2,4.1568627450980395,0.6744642027449002,51,0.1851100029367286
ai,high,x4,2.019607843137255,0.7345800454254491,51,0.20160909031579483
ai,low,x2,4.392156862745098,0.7232822788524276,51,0.19850836296065974
ai,low,x4,2.607843137254902,0.6349309056125405,51,0.17425989596516928
ai,medium,x2,4.313725490196078,0.787151728154906,51,0.21603764605653478
ai,medium,x4,2.450980392156863,0.6103679378930738,51,0.1675184692027396
cgi,high,x2,3.764705882352941,0.8622815153792327,51,0.23665738403096218
cgi,high,x4,1.7843137254901962,0.756669689896353,51,0.20767170140210459
cgi,low,x2,3.7450980392156863,0.9130856970712434,51,0.25060084045746017
cgi,low,x4,1.7843137254901962,0.701818366536416,51,0.1926174871281386
cgi,medium,x2,3.6666666666666665,0.9729679679550948,51,0.2670358229132455
cgi,medium,x4,1.803921568627451,0.6006532391700642,51,0.16485222257048374
natural,high,x2,3.5294117647058822,0.8798395575665052,51,0.24147627468167698
natural,high,x4,1.4509803921568627,0.5025425550218042,51,0.13792526491002222
natural,low,x2,3.588235294117647,1.1861951034839977,51,0.3255570543193164
natural,low,x4,2.1372549019607843,0.8250965481236061,51,0.22645178769259783
natural,medium,x2,3.784313725490196,0.6727176373545166,51,0.1846306495133337
natural,medium,x4,1.8823529411764706,0.6825557507934251,51,0.18733076791866446
